EmployeeId,TerritoryId
8817372,611303
56639798,776962
53845760,75580
206938,78031
63455,285991
1,523326
9,523326
509,413454504
47852,19918
2157236,639968
24913899,75580
449,70271
3,853
351,38072992
3785,5930
7664,639
9960728,9855
2446,77787
2034923,588642318
494794,23662856
624,9716075
6698920,78464034
2909415,80606127
3085,4944622
402786,3777768
83214,677535821
525528786,7862533
9126924,337
154158,393510
3493765,773
747,80606127
56,779
687,776962
994,393510
909028,83311
44,75
7640,516
666093,566
2,176105
4229,7450782
937939979,22795
73,574885
7015,5895
830783,77787
87690,400410019
7,9155320
247296,83390
51252,176105
366,22795
96230,815971
726783,2455
34643806,960
34,388226445
12182,8835912
653,80606127
672431541,192585
2342220,853
87,400410019
94,413454504
60,8771122
5282357,9716075
17669335,733897
6164,361312983
6420,815971
87,73261
3894407,32159326
93754,68721
2,5895
929870372,400410019
940254474,10102196
4,468712943
688,94378868
66358860,42
79153622,22795
62643,523326
65773,682838
6383,4944622
81523,423
26606977,516
883248748,939146
574,5930
697339182,15
1,139424330
4820,29
413358,866022606
1912849,3678
6,89271
8390,8141982
9875,34
796530,22001
26798,583371
94,9227
51811,95335
4,99484
7,74
8451809,9367
533531,85024722
28032332,381259621
2,73261
681531,500344379
6709,224636282
98885169,38072992
80558,10138
395071,815971
461,224636282
8032,18593
4014578,4355644
520,30264498
1996,17
8836,351373
795506,435
154054,15
22376555,82154
166006396,515
72597014,6155
6108,258935
640360,39
44924,8413
78504,2235907
7885563,19918
2,351373
2,192585
6,468712943
3115,801
1671844,611303
681794,11342
267306,92078817
37235,63
713852,776929
95978,190234342
302985,5190289
14612712,9855
449918323,588642318
491,9155320
3453379,7833307
38969587,515
80628,3670
74278068,363
2105695,973668
4,5930
8061162,38072992
97,682838
5425896,176105
7940972,10138
70321420,75
8,351373
78,602455929
815,583371
412,410
5,10138
5777,46787206
4,611303
8052516,973668
367540523,363
624399,2455
0,89198
1906,8413
4,32159326
848917040,25305
400496,818495
1889085,224636282
659214514,89271
1,30264498
906039447,18593
389026722,10138
15829,71176
5198242,15
547399772,56
1484469,960
939,7092144
1825418,1830465
4247,4874659
82707824,909
68856129,89271
91319,413
0,523326
786,6130019
789925,75
810,190234342
43,423
240,388226445
55,7833307
48,44084119
9437,515
6,8076
39,30264498
3,5060923
998235,570405877
63609,56
683032,224636282
992162,388226445
90,9227
2835,773
40082,14
9,639968
71106,3777768
262794,190234342
30,82154
8,38072992
2168708,85024722
12,78464034
4087592,22063348
3816845,6667
76920391,682838
364971799,682838
16845,8114
311,8141982
9966627,423
9237343,75580
310,285991
243108959,76
745,152530828
640292,611303
590183,809205071
48576061,363
842755388,875307127
67380,388226445
396706,74
9,46787206
83,176105
3369315,24243786
23,801
13775,583371
778114,1160
194086,18593
3585,19
5239,8114
1597,43524913
5738435,78464034
71267,74
0,9958941
776241198,878425
6244,39
18842,449786650
23935,639968
127270793,94378868
9374019,1830465
421649994,11
554,30264498
305912,190234342
74767331,70271
784,639
675,14
59581085,3751351
6619,9633
90,6084
17704159,1160
982420603,7833307
3,351373
244775,875307127
6868155,78031
8,1830465
7728211,4386
81785,95335
109970145,5190289
644647185,76
7507573,154247
835960063,566
2,351373
336,2235907
3324,8413
30643,516
1850,34
85,4874659
58808630,22050999
5140,909
62619859,413
121,56
70,8835912
2446,875307127
745040,9716075
4301,2455
37875,46787206
9531,9155320
8,8835912
300206,677535821
601125,258935
980356,677
884625,7833307
945756282,1830465
0,620
6,80606127
419775,76
59691,44
9989735,776962
3714,410
4545827,3777768
858910060,53069692
839,18638
4360544,939146
19,5728
624,25305
5,32159326
7956447,78031
6023593,733897
588704054,32159326
23,11803126
466728,570405877
6173,9855
303,773
