Id,CustomerId,EmployeeId,OrderDate
97559,44645965,354477204,1987-12-24
1262,310,857,1973-01-25
3092,31686,430346149,2006-07-23
46,3438,2,2017-07-06
859712866,49890,54974,1976-11-25
93904,773241,33352,1989-03-04
4201104,115,94683,1990-05-03
89502298,205425,2436,1974-10-29
34317,205425,70582781,2021-09-24
32712199,168,30234,1998-04-23
605224227,112,507,2021-05-28
24031,602758,449,2007-06-08
7073833,1098199,8610,1984-07-07
4317,877,2786999,2011-01-12
913270,77609978,68718549,2013-03-28
711,622968,120361240,1996-03-09
875421,46938,421679004,2021-06-11
4246,86939255,7108,1980-07-07
582,93722627,6,2016-05-14
258,1098199,60,2017-08-16
378207,36407211,83164,1996-08-07
2530,82294,3886,2020-07-24
609282817,84896571,3040,2001-08-22
20260969,4357383,744907189,1997-02-21
278428,6750754,744,1985-05-17
8181,84896571,35779,1983-07-27
7265,93780,2757,1987-08-18
455,60061,52731182,2018-07-07
675914497,316,41,2014-01-28
90552,60061,52731182,1988-08-08
926,117649,778312,2012-03-08
5183,773241,287439,1984-03-09
19160301,1080936,68718549,1975-08-24
6480,168,8606,2018-12-10
983327,66440528,131,2018-05-08
50305,46938,377,2002-11-20
22,77609978,507,2012-09-26
856,463732,90430019,1985-07-26
6062002,8792899,9522,1985-06-21
227276,78340754,66,2004-12-12
2340888,211037,430346149,1984-10-11
392306651,78340754,83550,2005-10-29
41924016,205425,23717,2011-04-27
277,39897330,270172306,1984-09-07
22624,1184,744907189,1975-05-07
922791,4357383,3978,2022-06-14
692779783,60356,6009,1997-10-08
36251,7536,15241725,1970-11-30
6931649,54884459,4724,1977-07-03
309949,271114,2490975,1994-08-23
531808,50203255,33051,2023-06-07
58543,622968,68766425,1978-07-04
747562,49890,15250732,1992-06-02
886,81846148,6885404,1985-02-09
584622520,11925,520159678,2010-09-25
92455050,271114,52316839,2009-01-14
84878,4465670,4724,1986-10-25
6019,566019271,67,1995-07-15
46793635,61618979,368,2013-10-20
3642,8246735,7050782,1973-05-27
551080583,5522,69577,2021-06-08
8475919,966965,1361718,1997-01-30
347513879,50203255,8,2005-04-04
32846833,4357383,23717,2020-10-10
237322884,99,49,2009-06-30
638,847,4724,1992-04-19
19685918,75551,33352,1988-03-28
9198689,208155,90660656,2012-05-16
78,253,7234946,1993-04-18
2067,316,90910,2017-07-13
2942926,278828163,1361718,1986-04-24
233998,93799031,158624,1975-11-23
694,31686,260735,1984-12-24
323,49428,57649,1980-06-22
914878,46938,85838,1984-10-01
431,115,6822,2002-11-23
2018,36407211,40082,1985-09-14
502,278828163,4891177,1979-02-17
5446,5522,285,1998-03-16
162117,1080936,5752600,1984-04-29
78485,391215445,5,1989-03-04
64058175,137,559,1996-12-07
687,31686,24807,2020-08-12
969102080,3438,6822,2009-02-23
9787071,168,33204,2013-02-09
2526016,93722627,2596,2007-09-20
417696714,1123,320347212,1997-03-21
4559,7536,51425,1971-02-04
85787112,6750754,934379450,1988-11-11
