Id,ProductName,SupplierId,QuantityPerUnit
969714,benchmark cross-media applications,4515994,4
80848,deliver granular e-tailers,24,76
4708,disintermediate visionary e-services,83199,919180173
42627775,enable turn-key deliverables,1693,264454070
77674794,cultivate clicks-and-mortar markets,127112,733580777
523760,expedite one-to-one metrics,57606,64804217
87,target enterprise infrastructures,191456606,343104
497,productize 24/7 vortals,803,0
50739,disintermediate front-end partnerships,598,3885
71093499,visualize magnetic models,38862374,986428
226331357,seize frictionless applications,40663910,341
6599,seize proactive methodologies,74300,77
7455710,e-enable bricks-and-clicks web-readiness,57606,771830
49114586,synthesize intuitive systems,127112,36159
720,whiteboard cross-media functionalities,803,679507289
640,integrate web-enabled mindshare,36,1056
336,transform back-end synergies,9678364,602
928734,aggregate efficient web services,57606,85500712
2414264,orchestrate best-of-breed content,15043825,22
97,enable open-source info-mediaries,803,4
836587,strategize killer web-readiness,20,276
946,repurpose ubiquitous portals,191456606,338324
3249,unleash distributed communities,55323403,96
964,cultivate wireless channels,595,10
51128216,deploy cross-platform initiatives,754277,20356
12920551,facilitate strategic content,608776514,919
182049,repurpose visionary platforms,38862374,42601
6610691,streamline granular vortals,57606,6
666,seize impactful action-items,140445066,821
38973,engineer mission-critical web services,867,73045629
888127,synthesize dot-com web services,191456606,454670
80243,brand global e-commerce,74300,36654054
29973,evolve open-source ROI,2310724,6291001
6582,leverage extensible infrastructures,595,189
47391,deploy ubiquitous mindshare,140445066,82
908,maximize proactive bandwidth,754277,6813
133586,transition customized metrics,74300,9068785
9333,whiteboard cross-platform systems,20,4481
102774,repurpose turn-key markets,2310724,404570
99785,morph scalable experiences,24,89059
8216841,iterate seamless applications,15043825,9004802
77690,harness innovative methodologies,5706066,3
240,visualize value-added platforms,36,3
6072878,embrace web-enabled relationships,2310724,403815180
8173180,deploy proactive content,4831,292
622,matrix cross-media action-items,29694965,27529
6231532,implement cross-media systems,10276021,9312873
40034067,engage distributed eyeballs,598,273
22428,transition wireless partnerships,58649,3
997580011,streamline visionary experiences,47820192,8683168
209757,embrace B2C vortals,754277,48980642
28665201,visualize bricks-and-clicks deliverables,15043825,6423
313,synergize vertical initiatives,72988497,930516078
1984160,aggregate proactive functionalities,2310724,689132
54268,synthesize user-centric communities,477,16257
5071,visualize B2C e-business,24,2523
25186135,exploit turn-key bandwidth,27,3
775867,e-enable extensible e-commerce,55323403,73
634,engage clicks-and-mortar paradigms,20,44621566
571657815,evolve killer eyeballs,895371561,355
73601,redefine cross-media schemas,87576059,735129391
6662,scale next-generation metrics,27,804
83644114,streamline cross-media partnerships,55323403,41
180842432,generate end-to-end action-items,754277,63
3239,orchestrate one-to-one networks,38862374,1541493
549016,visualize front-end markets,9778709,833395
982893,innovate turn-key channels,57606,838595
21,scale one-to-one info-mediaries,57606,56560831
8319,grow web-enabled solutions,97841401,66625252
