Id,TerritoryDescription,RegionId
6084,Monitored scalable implementation,15235
22001,Innovative 3rdgeneration circuit,671
88,Seamless zero-defect data-warehouse,13211068
611303,Reverse-engineered solution-oriented task-force,20642
68721,Profound holistic model,11871139
515,Devolved 24/7 complexity,62151554
570405877,Decentralized national flexibility,13
92078817,Grass-roots transitional info-mediaries,8735479
18638,Triple-buffered local Local Area Network,2795
4355644,Multi-lateral global initiative,517470
1526788,Persevering homogeneous core,555
937,Fundamental dedicated hub,485876
413454504,Proactive modular challenge,99157312
76085184,Programmable zero tolerance secured line,973427
42375125,Configurable executive throughput,51630294
32159326,Self-enabling analyzing leverage,671
776962,Right-sized 24hour framework,887973165
733897,Ameliorated impactful knowledge user,21760202
381259621,Organic bandwidth-monitored moderator,9999
36634718,Organized bi-directional benchmark,6859651
56,Stand-alone methodical open architecture,513
866022606,Compatible multi-state access,15235
176105,Face-to-face grid-enabled framework,748
4386,Balanced systemic conglomeration,485876
82154,Managed bottom-line hierarchy,16776
779,Automated context-sensitive focus group,43
39,Cross-group didactic task-force,91420
75580,Future-proofed zero-defect capability,709
639968,Expanded system-worthy contingency,569919068
776929,Front-line radical migration,75528
588642318,Total 5thgeneration info-mediaries,56945
5680124,Face-to-face bi-directional Graphic Interface,3277
620,Reduced multi-tasking product,973427
4944622,Visionary disintermediate strategy,428758169
56204786,Realigned value-added Internet solution,671
1830465,Assimilated uniform database,750869655
2520601,Seamless eco-centric help-desk,40674688
9367,Business-focused asynchronous leverage,8735479
400410019,Team-oriented transitional help-desk,750869655
809205071,Devolved secondary concept,53
351373,Synergistic zero tolerance project,13167599
53069692,Configurable hybrid knowledge user,13
410,Public-key holistic leverage,48766
449786650,Profound bottom-line open architecture,2795
24243786,Programmable asynchronous architecture,88188
3777768,Multi-tiered local concept,214
9855,Right-sized tangible function,15235
523326,Centralized fresh-thinking installation,517470
9958941,Focused intermediate info-mediaries,99157312
829046,Visionary context-sensitive capability,16776
801,Inverse context-sensitive superstructure,214
9716075,Persistent incremental artificial intelligence,94277
285991,User-centric optimizing productivity,32154
9227,Fully-configurable system-worthy Graphic Interface,512305753
98679349,Expanded zero administration model,709
46787206,Intuitive solution-oriented initiative,56945
43524913,Function-based 3rdgeneration groupware,95159290
34,Multi-lateral next generation benchmark,1738
22050999,Organized non-volatile monitoring,3879
1306393,Quality-focused bifurcated portal,85943156
15,Networked intangible emulation,13
435,Implemented global matrix,43
19918,Multi-layered motivating challenge,75528
6415594,Profit-focused maximized firmware,901538
337,Customizable client-server flexibility,32389
63,Optimized needs-based capacity,7383
154247,Synchronized context-sensitive collaboration,13167599
324370267,Down-sized client-driven methodology,448046456
878425,Stand-alone logistical framework,659807
909,Exclusive interactive open system,573
222042,Team-oriented radical data-warehouse,9854
95335,Proactive motivating matrices,517470
8114,Optimized cohesive adapter,13211068
388226445,Vision-oriented zero administration secured line,671
639,Realigned empowering algorithm,6859651
413,Monitored neutral policy,2005924
3678,Implemented well-modulated extranet,89507593
70271,Profound client-driven framework,56945
80606127,Synergistic context-sensitive function,32154
3358,Mandatory actuating encryption,74623
22063348,Cross-platform disintermediate open system,9854
5754,Future-proofed intangible flexibility,18584
18593,Phased human-resource complexity,6859651
762,Persevering holistic instruction set,15116
973668,Switchable local task-force,62151554
89271,Seamless global application,13
77787,Streamlined object-oriented workforce,89650
7862533,Virtual logistical Local Area Network,8190079
815971,Phased secondary framework,15235
363,Ergonomic responsive encryption,67988
6155,Assimilated optimizing initiative,9448
42,Triple-buffered 24/7 installation,48766
16,Function-based client-driven productivity,485876
602455929,Horizontal heuristic protocol,179779440
967158108,Programmable holistic success,85943156
10138,De-engineered disintermediate paradigm,750869655
3670,Quality-focused solution-oriented hierarchy,53
960,Stand-alone fault-tolerant time-frame,214
11470997,Organized user-facing productivity,96
1160,Up-sized logistical paradigm,94277
224636282,Reverse-engineered background neural-net,52547374
30264498,Versatile needs-based solution,8735479
44084119,Integrated full-range structure,56945
192585,Persevering actuating open architecture,46389
58779156,Business-focused dedicated open architecture,99157312
9155320,Configurable executive moderator,517470
677535821,Programmable 3rdgeneration complexity,726463
477059,Implemented attitude-oriented software,428758169
83390,Synchronized zero-defect solution,428758169
8076,Polarized holistic challenge,22989759
686192197,Polarized attitude-oriented adapter,13211068
361312983,Horizontal zero-defect parallelism,51630294
393510,Optional systemic knowledgebase,13211068
939146,Triple-buffered empowering flexibility,1738
258935,Right-sized systematic attitude,9448
8771122,Inverse zero administration Internet solution,750869655
75,Customizable interactive focus group,748
5190289,Focused coherent methodology,13
8141982,Pre-emptive neutral instruction set,15116
9633,De-engineered 6thgeneration matrix,7383
539414,Seamless foreground interface,3277
2235907,Universal real-time toolset,62151554
773,Reactive user-facing encryption,726463
22795,Realigned 24hour synergy,62151554
37823120,Advanced 4thgeneration productivity,88188
79,Decentralized asynchronous function,2514
7833307,Team-oriented high-level monitoring,2795
95258073,Secured non-volatile paradigm,99157312
33587754,Ameliorated logistical instruction set,56945
94485272,Sharable discrete paradigm,95159290
81351693,Innovative homogeneous encoding,796907
468712943,Right-sized content-based benchmark,88188
516,Optimized needs-based system engine,791694544
17,Operative client-server throughput,671
139424330,Multi-tiered 6thgeneration customer loyalty,63895
853,Progressive regional model,89650
682838,Optimized coherent throughput,22989759
5930,Future-proofed well-modulated collaboration,13
72821,Horizontal 24/7 migration,48766
94378868,Synergistic system-worthy projection,46251
423,Multi-lateral intangible customer loyalty,46389
8835912,Switchable neutral hierarchy,89507593
64918,Up-sized content-based conglomeration,3879
14103953,Fundamental background intranet,173823595
875307127,Fundamental needs-based moderator,88188
50,Future-proofed well-modulated instruction set,46251
18474,Multi-tiered next generation monitoring,977895
574885,Front-line encompassing workforce,94277
8413,Balanced neutral service-desk,22989759
7450782,Decentralized methodical Internet solution,30412378
1321,Advanced asymmetric help-desk,30412378
78031,Self-enabling 6thgeneration orchestration,13211068
3751351,Reactive grid-enabled policy,453
71176,Triple-buffered impactful middleware,28309
190234342,Seamless methodical monitoring,43
99484,Innovative logistical functionalities,9854
11803126,Cloned composite protocol,67988
5728,Implemented client-server support,2236
818495,Open-architected content-based approach,143139
80064,Universal uniform capability,6399722
892472,User-friendly heuristic methodology,85943156
44,Organized national website,6692990
23662856,Reactive next generation leverage,659807
19,Customizable real-time secured line,152933
76,Reverse-engineered hybrid matrices,730440883
5060923,Balanced high-level success,214
8625,Horizontal multi-state software,28309
536544176,Networked empowering architecture,726463
500344379,Distributed eco-centric open system,887973165
25305,Centralized heuristic Graphic Interface,83932437
6130019,Phased stable focus group,88188
152530828,Integrated stable conglomeration,569919068
5972,Organized optimizing initiative,6399722
